,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,mro_ssd,mro_eng
0,['./sipaimages/2/1.jpg'],5679,100,44,,5679,1
0,['./sipaimages/2/10.jpg'],2244,100,,,2244,2244
0,['./sipaimages/2/11.jpg'],2244,100,4,,2244,
0,['./sipaimages/2/12.jpg'],2244,100,,,2244,2
0,['./sipaimages/2/13.jpg'],7244,100,4,,7244,24
0,['./sipaimages/2/14.jpg'],7244,100,,,7244,
0,['./sipaimages/2/15.jpg'],1234,100,,,1,
0,['./sipaimages/2/16.jpg'],1234,100,100,,11,
0,['./sipaimages/2/2.jpg'],6543,100,,,78,
0,['./sipaimages/2/22319_20220321100350.jpg'],1234,100,11,,234,3
0,['./sipaimages/2/22319_20220321100409.jpg'],1234,100,1234,3,11,734
0,['./sipaimages/2/22319_20220321101240.jpg'],1234,100,190,,,
0,['./sipaimages/2/22319_20220321113903.jpg'],1234,100,,,11824,0
0,['./sipaimages/2/22319_20220321115131.jpg'],1234,100,,,11234,
0,['./sipaimages/2/22419_20220321130145.jpg'],1234,100,,,,
0,['./sipaimages/2/22420_20220321135314.jpg'],4321,100,19,,4231,
0,['./sipaimages/2/22420_20220321135751.jpg'],4321,100,,,422117,3
0,['./sipaimages/2/22420_20220321135814.jpg'],4321,100,,,4221,
0,['./sipaimages/2/22420_20220321141325.jpg'],4321,100,,,6311,4324
0,['./sipaimages/2/22421_20220321160735.jpg'],672,100,88,,672,62
0,['./sipaimages/2/22422_20220321161043.jpg'],674,100,,,674,
0,['./sipaimages/2/22423_20220321161435.jpg'],675,100,,,351,675
0,['./sipaimages/2/22424_20220321162804.jpg'],678,100,,,678,578
0,['./sipaimages/2/22424_20220321162822.jpg'],678,100,,,678,8
0,['./sipaimages/2/22424_20220321162938.jpg'],678,100,,,137151,5718
0,['./sipaimages/2/22424_20220321162953.jpg'],678,100,,,678,678
0,['./sipaimages/2/22424_20220321163104.jpg'],678,100,,,678,578
0,['./sipaimages/2/22424_20220321163218.jpg'],678,100,,,678,573
0,['./sipaimages/2/22424_20220321163247.jpg'],678,100,,,678,578
0,['./sipaimages/2/22424_20220321163942.jpg'],678,100,,,678,578
