,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,otsu_ssd,otsu_eng,gaus_ssd,gaus_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\5\\1.jpg'],-7.94,50,1,,1,,,,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,50,1141.0,,0,['.'],1,,,241.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,50,11111,,,,,,,74.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,50,741,,,,181,,1.0,1.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,50,20,,,,,,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,50,7,,1,,772.1,2,,111.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,50,7,,7,,9.1,5,,77.0
0,['.\\sipaimages\\5\\16.jpg'],10.14,50,7,,,,222470311,,,17.0
0,['.\\sipaimages\\5\\17.jpg'],10.23,50,11,,,,121,1,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,50,1,,,,1,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,50,,,31,,81,1,,10.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,50,11,,11,,7,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,50,1.41,,111,,1919,,,11.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,50,,,21,,21,,,1.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,50,,,11,,121,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,50,1,,1,,21,,,1.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,50,,,,,1113,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,50,,,,,1,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,50,,,,,8,,,11.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,50,11,,100,,11277785,,,1.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,50,,,,,90,,,70.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,50,,,,,7,['.'],,700.0
0,['.\\sipaimages\\5\\5.jpg'],10.63,50,1,,71,,611,5,,31.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,50,0,,1,,['3.13.1'],,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,50,1,,0,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,50,,,,,53,,,4.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,50,,,,,73,3,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,51,18,,11,,18,5,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,51,11.0,,4,,181,,,744.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,51,31.0,,,,7577327124.1,,['.'],1.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,51,771,,,,71,1,,27.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,51,63,,,,,,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,51,7,,101,,['3.10.1'],,['.'],0.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,51,1,,,,,,['.'],7.0
0,['.\\sipaimages\\5\\16.jpg'],10.14,51,,,,,,,,777.0
0,['.\\sipaimages\\5\\17.jpg'],10.23,51,1,,,,555121104,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,51,1,,,,,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,51,,,21,1,21,,,13.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,51,1,,,,1,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,51,1.11,,11,,191,,,11.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,51,,,1,,121,,,11.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,51,,,11,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,51,177,,6,,131,4,,14.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,51,,,,,,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,51,,,,,181,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,51,,,,,81,,,1.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,51,1,,11,,5,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,51,,,,,7,,,70.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,51,,,,,,,,111.0
0,['.\\sipaimages\\5\\5.jpg'],10.63,51,1,,781,,381,,,41.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,51,41,,1,,31,,,1.0
0,['.\\sipaimages\\5\\7.jpg'],9.3,51,0,,11,,,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,51,,,,,,,,14.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,51,,,,,,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,52,1,,11,,1,5,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,52,884.0,,84,,121,,,114.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,52,1114111,3,,,22108,1,,0.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,52,741,,,,3.1191,,1,7.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,52,0,7,,,,,,
0,['.\\sipaimages\\5\\14.jpg'],10.46,52,7,,1,,704.1,,['.'],10.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,52,24,3,7,,9.1,5,,717.0
0,['.\\sipaimages\\5\\16.jpg'],10.14,52,21,1,,,311,,,71.0
0,['.\\sipaimages\\5\\17.jpg'],10.23,52,177,1,,,5508,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,52,8,,,,,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,52,17,8,21,,177,,,11.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,52,11,,,,703,55,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,52,11,,1.11,,,,,1.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,52,,,21,,777,,,14.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,52,,,1,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,52,184,,1,,7131,72,,3.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,52,,,,,115,,,10.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,52,,,,,711174,,4,10.0
0,['.\\sipaimages\\5\\26.jpg'],179.26,52,,,,,4,,,1.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,52,18,,11,,2,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,52,,,,,77,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,52,,,,,,,,
0,['.\\sipaimages\\5\\5.jpg'],10.63,52,1,,1511,,,,,11.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,52,1,,1,,,,,
0,['.\\sipaimages\\5\\7.jpg'],9.3,52,9,1,0,,9,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,52,,,,,,,,106.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,52,,,,,7,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,53,1,4,11,,,,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,53,1.0,,0,,755531.0,,,1.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,53,1111,,,,,,,74.0
0,['.\\sipaimages\\5\\12.jpg'],10.51,53,771,,,,,,3,71.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,53,1,,,,211,,,71.0
0,['.\\sipaimages\\5\\14.jpg'],10.46,53,7,,1,,['2233.1128.1'],,,11.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,53,1,,,,2555209.1,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,53,7,1,,,33111,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,53,7,,,,95111,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,53,1.7,,,,151,,,14.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,53,,,31,1,1771,,,10.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,53,111,,,,777771121,4,,1.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,53,171,,1.11,,911377,,,1.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,53,,,1,,21,,,1.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,53,,,1,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,53,144,,7,,1131,1,,9.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,53,,,,,,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,53,,,,,84,,,10.0
0,['.\\sipaimages\\5\\26.jpg'],179.26,53,,,,,3.10811,7,,11.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,53,0,,11,,574,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,53,,,,,7178,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,53,,,,,,,,
0,['.\\sipaimages\\5\\5.jpg'],10.63,53,7,,781,,,,,81.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,53,1,,1,,121,5,,1.0
0,['.\\sipaimages\\5\\7.jpg'],9.3,53,1,,1,,0,,,
0,['.\\sipaimages\\5\\8.jpg'],9.3,53,,,,,,,,4.0
0,['.\\sipaimages\\5\\9.jpg'],6.85,53,,,,,10,,,
0,['.\\sipaimages\\5\\1.jpg'],-7.94,54,1,,11,,121,3,,1.0
0,['.\\sipaimages\\5\\10.jpg'],10.51,54,7.0,,0,,,,,1.0
0,['.\\sipaimages\\5\\11.jpg'],10.51,54,111111,,,,911,,,
0,['.\\sipaimages\\5\\12.jpg'],10.51,54,1,,,,14811,,3,71.0
0,['.\\sipaimages\\5\\13.jpg'],10.46,54,78,,,,211,,,11.0
0,['.\\sipaimages\\5\\14.jpg'],10.46,54,7,,1,,18811,,['.'],1.0
0,['.\\sipaimages\\5\\15.jpg'],10.69,54,27,,,,55178.1,,,
0,['.\\sipaimages\\5\\16.jpg'],10.14,54,177,1,19,,811,,,1.1
0,['.\\sipaimages\\5\\17.jpg'],10.23,54,7,1,,,13108,,,1.0
0,['.\\sipaimages\\5\\18.jpg'],-19.53,54,117,,,,121,,,1.0
0,['.\\sipaimages\\5\\19.jpg'],-18.24,54,,,21,1,21,,,0.0
0,['.\\sipaimages\\5\\2.jpg'],-7.94,54,11,,,,5,,,11.0
0,['.\\sipaimages\\5\\20.jpg'],-20.22,54,111,,11,,911,7,,0.0
0,['.\\sipaimages\\5\\21.jpg'],-18.43,54,,,1,,91,,,4177.0
0,['.\\sipaimages\\5\\22.jpg'],-20.07,54,,,1,,,,,11.0
0,['.\\sipaimages\\5\\23.jpg'],8.3,54,1,,['1..'],,311,3,,4.0
0,['.\\sipaimages\\5\\24.jpg'],179.32,54,,,,,,,,1.0
0,['.\\sipaimages\\5\\25.jpg'],179.32,54,,,,,1,,,
0,['.\\sipaimages\\5\\26.jpg'],179.26,54,,,,,118,75,,11.0
0,['.\\sipaimages\\5\\27.jpg'],179.26,54,10,,10,['.'],2,,['.'],11.0
0,['.\\sipaimages\\5\\3.jpg'],10.63,54,,,,,9,,,7.0
0,['.\\sipaimages\\5\\4.jpg'],10.63,54,,,,,,,,
0,['.\\sipaimages\\5\\5.jpg'],10.63,54,4,,781,,391,,,81.0
0,['.\\sipaimages\\5\\6.jpg'],10.63,54,1,,1,,113.1,,,3.0
