image_file,thresh_ssd_equal_count,thresh_ssd_not_equal_count,thresh_eng_equal_count,thresh_eng_not_equal_count,closing_ssd_equal_count,closing_ssd_not_equal_count,closing_eng_equal_count,closing_eng_not_equal_count,otsu_ssd_equal_count,otsu_ssd_not_equal_count,otsu_eng_equal_count,otsu_eng_not_equal_count,gaus_ssd_equal_count,gaus_ssd_not_equal_count,gaus_eng_equal_count,gaus_eng_not_equal_count
.\\sipaimages\\5\\1.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\10.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\11.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\12.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\13.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\14.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\15.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\16.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\17.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\18.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\19.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\2.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\20.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\21.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\22.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\23.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\24.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\25.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\26.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\27.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\3.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\4.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\5.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\6.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\7.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\8.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\5\\9.jpg,0,600,0,600,0,600,0,600,0,600,0,600,0,600,0,600
