,index,file_name,seen_value,ncol2,ncol3,width,height,dimensions,closing_ssd,closing_eng,mro_ssd,mro_eng,sub_folder
0,0,.\sipaimages\3\1.jpg,30.31,,,490,817,3,31,031,,,sipaimages_3
1,1,.\sipaimages\3\10.jpg,13.05,,,490,817,3,135,1305,,,sipaimages_3
2,2,.\sipaimages\3\11.jpg,20.59,,,490,817,3,11,05,,,sipaimages_3
3,3,.\sipaimages\3\12.jpg,13.05,,,490,817,3,1808,1305,,,sipaimages_3
4,4,.\sipaimages\3\13.jpg,30.31,,,490,817,3,04,303,,,sipaimages_3
5,5,.\sipaimages\3\14.jpg,13.04,,,490,817,3,13.4,1304,11,1,sipaimages_3
6,6,.\sipaimages\3\15.jpg,30.24,,,816,1468,3,0,,1,,sipaimages_3
7,7,.\sipaimages\3\16.jpg,13.04,,,490,817,3,184,1304,,,sipaimages_3
8,8,.\sipaimages\3\17.jpg,13.03,,,490,817,3,13.9,1303,11,,sipaimages_3
9,9,.\sipaimages\3\18.jpg,30.23,,,816,1468,3,14,30.23,11.1,02,sipaimages_3
10,10,.\sipaimages\3\19.jpg,3.76,,,816,1468,3,3.76,376,74,75,sipaimages_3
11,11,.\sipaimages\3\2.jpg,30.31,,,490,817,3,01,03,,,sipaimages_3
12,12,.\sipaimages\3\20.jpg,30.23,,,816,1468,3,11,02,111,5,sipaimages_3
13,13,.\sipaimages\3\21.jpg,33.99,,,816,1468,3,9,1390,1,9,sipaimages_3
14,14,.\sipaimages\3\22.jpg,3.75,,,816,1468,3,1,3,75,75,sipaimages_3
15,15,.\sipaimages\3\23.jpg,30.23,,,816,1468,3,4,3022,1,,sipaimages_3
16,16,.\sipaimages\3\24.jpg,30.24,,,816,1468,3,1.4,.24,,,sipaimages_3
17,17,.\sipaimages\3\25.jpg,33.99,,,816,1468,3,9,9,,,sipaimages_3
18,18,.\sipaimages\3\26.jpg,3.75,,,816,1468,3,319,375,,,sipaimages_3
19,19,.\sipaimages\3\3.jpg,13.04,,,490,817,3,13.14,1304,,,sipaimages_3
20,20,.\sipaimages\3\4.jpg,13.05,,,490,817,3,,,,,sipaimages_3
21,21,.\sipaimages\3\5.jpg,30.3,,,490,817,3,0,030,,,sipaimages_3
22,22,.\sipaimages\3\6.jpg,13.04,,,490,817,3,14,14,,,sipaimages_3
23,23,.\sipaimages\3\7.jpg,13.04,,,490,817,3,13.04,1304,114,1,sipaimages_3
24,24,.\sipaimages\3\8.jpg,30.31,,,490,817,3,01,03,,,sipaimages_3
25,25,.\sipaimages\3\9.jpg,13.04,,,490,817,3,1804,1304,41,4,sipaimages_3
