image_file,thresh_ssd_equal_count,thresh_ssd_not_equal_count,thresh_eng_equal_count,thresh_eng_not_equal_count,closing_ssd_equal_count,closing_ssd_not_equal_count,closing_eng_equal_count,closing_eng_not_equal_count,mro_ssd_equal_count,mro_ssd_not_equal_count,mro_eng_equal_count,mro_eng_not_equal_count
.\\sipaimages\\3\\1.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\10.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\11.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\12.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\13.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\14.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\15.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\16.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\17.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\18.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\19.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\2.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\20.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\21.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\22.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\23.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\24.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\25.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\26.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\3.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\4.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\5.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\6.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\7.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\8.jpg,0,600,0,600,0,600,0,600,0,600,0,600
.\\sipaimages\\3\\9.jpg,0,600,0,600,0,600,0,600,0,600,0,600
