,image_file,seen_data_numeric,size_used,closing_ssd,closing_eng,mro_ssd,mro_eng,thresh_eng,thresh_ssd
0,['.\\sipaimages\\4\\1.jpg'],-3.188,50,1571,,11,,,11.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,50,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,50,,,11,,,51.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,50,51,,151,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,50,1,,,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,50,,,1,,,1.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,50,9,,10,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,50,9,,3,,['.'],17.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,50,7,,1,1,,1.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,50,224,,3,,,7.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,51,,,11,,,11.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,51,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,51,,,5,,,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,51,1398,,51,,,151.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,51,8,['.'],,,,897.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,51,5461,,5,,,5.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,51,5,,10,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,51,859,,3,,['.'],1.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,51,5,,3,1,,0.0
0,['.\\sipaimages\\4\\9.jpg'],3.436,51,278,,3,,,0.0
0,['.\\sipaimages\\4\\1.jpg'],-3.188,52,,,11,,,1.0
0,['.\\sipaimages\\4\\10.jpg'],8.3,52,,,,,,
0,['.\\sipaimages\\4\\2.jpg'],-3.286,52,,,17,['.'],,151.0
0,['.\\sipaimages\\4\\3.jpg'],-3.442,52,5,,11,,,11.0
0,['.\\sipaimages\\4\\4.jpg'],-3.441,52,9,['.'],7,,,1.0
0,['.\\sipaimages\\4\\5.jpg'],-3.596,52,5,,5,,,59.0
0,['.\\sipaimages\\4\\6.jpg'],3.536,52,48,,8809,,,10.0
0,['.\\sipaimages\\4\\7.jpg'],3.616,52,4,,3,,['.'],1.0
0,['.\\sipaimages\\4\\8.jpg'],3.341,52,5,,3,1,['.'],114.0
